gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000186889.9,TMEM17,0.684415344737301,0.0117672504401408,0.493712929118983,0.0136324648219087,0.0445379866038703,0.00789393683089729,,19,19,19
ENSG00000100599.15,RIN3,-0.684255642723522,-0.0167888825475205,0.493813751541621,0.00338435955557735,0.133853659529747,3.70204633128953e-06,,13,13,13
ENSG00000113851.14,CRBN,0.68352567515089,0.00722991336967796,0.494274731943984,0.0313347235783973,0.102397990910312,5.45758741793654e-05,,111,111,111
ENSG00000122696.13,SLC25A51,0.683437584531869,0.00351753178562967,0.494330377439106,0.102581285885596,0.312149970983136,3.57034394669608e-15,,36,37,37
ENSG00000177692.11,DNAJC28,0.682173840285497,0.0101096279711308,0.495129033993377,0.0164316739973759,0.0794106487061352,0.00044127011585639,,18,18,18
ENSG00000244509.3,APOBEC3C,-0.681214068259746,-0.0263405417872071,0.495736047526708,0.00196933160291944,0.0929111403629185,0.000113114415093266,,3,3,3
ENSG00000148600.14,CDHR1,-0.681156809279288,-0.00287152963222808,0.4957722738617,0.11170249548384,0.32678103034948,1.93431168032297e-15,,124,124,124
ENSG00000260136.5,CTD-2270L9.4,0.680949827782929,0.0115751369491528,0.495903237699106,0.0129960443322217,0.0569317401070899,0.00291448742340592,,20,20,20
ENSG00000205560.12,CPT1B,-0.680904601709545,-0.00812958583750777,0.495931856145156,0.0326427260163846,0.300521221289127,1.64048455178935e-13,,17,17,17
ENSG00000007062.11,PROM1,0.680700326051109,0.016349395162981,0.496061129991935,0.00516970604479157,0.0423420155105315,0.0116192076020167,,20,21,21
ENSG00000187607.15,ZNF286A,0.680692213238061,0.0106006667110888,0.496066264477268,0.0134995349494359,0.134370948741905,4.31411973240819e-06,,37,39,39
ENSG00000161981.10,SNRNP25,-0.680496169554964,-0.00684913336982645,0.496190346389144,0.0191102797676358,0.225175408131501,4.04901202047552e-10,,20,20,20
ENSG00000163743.13,RCHY1,-0.680313828931377,-0.0215104083086825,0.496305770084016,0.00474926947371152,0.059792555397649,0.00273407910903313,,28,28,28
ENSG00000080031.9,PTPRH,-0.679821580692008,-0.0150326167340208,0.496617440335043,0.00738644016308525,0.0524874038416315,0.00412599894048247,,19,20,20
ENSG00000144410.4,CPO,-0.6796146935709,-0.0104247011259091,0.496748463430557,0.0229540143084923,0.0978005811650151,8.88627273656703e-05,,32,32,32
ENSG00000154059.9,IMPACT,0.679395496871244,0.0127672187537765,0.496887302370756,0.0111104839983574,0.0675272058466454,0.00146395603025214,,59,60,60
ENSG00000228421.2,AC005013.5,0.678626704582754,0.00663285667630292,0.497374417949847,0.0480179432979498,0.149575935517402,1.11118271296587e-06,,41,42,42
ENSG00000273674.4,CTD-2378E12.1,0.677712971773333,0.00795309507459967,0.49795370009808,0.0199950215407829,0.0811176996415084,0.000444702893196703,,37,37,37
ENSG00000155542.11,SETD9,-0.677298260606189,-0.00591130628051631,0.498216734284108,0.052329157381849,0.33603489691779,8.93079777170673e-17,,23,23,23
ENSG00000155275.18,TRMT44,0.677103635331932,0.00776936612644003,0.498340202544708,0.0346899617970113,0.282294679833533,1.22530931276449e-12,,48,48,48
